Snake#,Can#,Flight,Jday,date,OpenTime,CloseTime,Julian Open Time,Julian Closing Time,Jopen time Progressive,J close time Progressive,Latitude,Longitude,AltP_feet,AltP_meters,Radaralt_ft,Radaralt_m,SARP Year,Weather,Comments,H2 (ppbv)mult by 1.6,CH4 (ppmv),CO (ppbv),CO2_ppm,OCS (MS),DMS (MS),CFC-12 (C/D),CFC-11 (C/D),CFC-113 (D),CFC-114 (C/MS),H-1211 (C/D),H-1301 (C),H-2402 (D),HFC-152a (MS),HFC-134a (MS),HCFC-22 (MS),HCFC-142b,HCFC-141b (MS),HFC-227ea (MS),HCFC-124 (MS),HFC-365mfc (MS),CHCl3 (C/D),CH3CCl3 (C/MS),CCl4 (C/MS),CH2Cl2 (C/D/MS),C2HCl3 (D/MS),C2Cl4 (C/MS),CH3Cl (MS),CH3Br (C/MS),CH3I (C/D),CH2Br2 (D),CHBrCl2 (D),CHBr2Cl (D),CHBr3 (C/MS),"1,2-DCE (MS)",MeONO2 (C/D),EtONO2 (C/D),i-PrONO2 (D),n-PrONO2 (C),2-BuONO2 (D),3-PeONO2 (D),2-PeONO2 (D),3-Methyl-2-BuONO2 (D),Ethane (E),Ethene (E),Ethyne (E),Propane (E/B),Propene (E),i-Butane (E),n-Butane (E),i-Butene (E),1-Butene (E),trans-2-Butene (MS),cis-2-Butene (MS),i-Pentane (E),n-Pentane (E),1-Pentene,Isoprene (E/B),"1,3-Butadiene (B)",n-Hexane (E),n-Heptane (E),n-Octane (B),n-Nonane (B),n-Decane (B),"2,2-Dimethylbutane (B)","2,3-Dimethylbutane (MS)",2-Methylpentane (MS),3-Methylpentane (MS),2-Methylhexane (B),3-Methylhexane (B),"2,3-Dimethylpentane (B)","2,4-Dimethylpentane (B)",2-Methylheptane (B),3-Methylheptane (B),"2,2,4-Trimethylpentane (B)",Cyclopentane (B),Methylcyclopentane (B),Cyclohexane (B),Methylcylohexane (B),Benzene (E/MS),Toluene (B),Ethylbenzene (MS),m-Xylene (MS),p-Xylene (MS),m/p-Xylene (MS),o-Xylene (MS),Styrene (MS),i-Propylbenzene (MS),n-Propylbenzene (MS),3-Ethyltoluene (MS),4-Ethyltoluene (MS),2-Ethyltoluene (MS),"1,3,5-Trimethylbenzene (MS)","1,2,4-Trimethylbenzene (MS)","1,2,3-Trimethylbenzene (MS)",alpha-Pinene (MS),beta-Pinene (MS),EtCl (MS),Acetaldehyde (MS),Butanal (MS),Acetone (MS),Butanone (MS),Methanol (MS),Ethanol (MS),,,,,,,,,
1103,,3,177,6/26/18,18:43:00,18:43:49,177.7799,177.78,43277.7799,43277.7804,35.33,-118.97,5521,,,,2018,,,,1.944,114,,592,0.00,506,246,72.6,16.56,3.632,3.231,0.434,65.3,115.9,288,25.08,29.5,0.00,,2.18,19.46,2.246,86.02,63.82,0.289,2.052,539,7.80,1.192,1.696,0.668,0.444,1.814,21.846,8.143,3.672,6.412,1.010,4.674,2.770,1.741,,1104,25,125,348,3,45,77,6,0,0,0,34,19,0,3,0,6,,0,0,0,,1,5,3,,,0,3,,,8,1,7,4,,22,4,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,
3314,,4,178,6/27/18,16:53:30,16:54:14,178.7038,178.70,43278.7038,43278.7043,36.77,-118.05,30048,,,,2018,,,,1.848,54,,635,0.00,528,245,73.9,17.25,3.833,3.738,0.434,15.6,105.0,303,24.18,29.6,0.00,,1.89,10.81,2.413,93.30,49.81,0.080,1.384,664,7.24,0.015,1.453,0.218,0.166,0.684,15.629,7.320,1.094,1.543,0.115,0.356,0.060,0.100,0.096,452,3,46,70,3,0,3,7,1,0,0,0,1,1,1,0,1,0,0,0,0,,0,0,0,,,3,1,,,0,0,5,2,,7,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
6618,,4,178,6/27/18,15:48:30,15:49:17,178.6587,178.66,43278.6587,43278.6592,33.75,-117.17,3781,,,,2018,,,,1.881,100,,606,0.04,513,250,71.4,16.80,3.898,3.782,0.434,39.4,107.9,300,23.95,29.4,3.30,,1.84,17.94,2.556,87.67,66.69,0.304,1.943,585,8.49,0.257,1.200,0.407,0.247,0.514,26.613,5.287,1.712,2.266,0.267,1.296,0.927,0.556,0.783,810,11,68,110,2,14,23,6,1,1,0,15,7,0,0,0,0,1,1,0,2,,1,3,2,,,3,0,,,4,0,0,3,,13,3,1,,,1,1,1,0,1,0,1,0,0,1,1,0,0,1,,,,,,,,,,,,,,,
2020,,2,177,6/26/18,0:17:00,0:17:39,177.0118,177.01,43277.0118,43277.0123,33.08,-115.64,1457,,,,2018,,,,1.904,157,,614,0.57,506,240,71.6,16.19,3.947,3.424,0.434,41.0,160.8,350,23.91,34.4,0.00,,2.02,19.39,2.299,88.41,71.51,2.361,7.611,586,7.22,0.446,1.737,0.853,0.473,1.043,25.016,5.485,3.580,9.660,1.146,6.599,9.328,6.234,11.776,798,70,231,1054,7,62,201,17,0,0,0,294,116,3,10,0,28,7,0,0,1,,6,31,21,,,5,11,,,17,7,14,28,,56,58,7,,,7,3,0,1,1,1,1,1,0,1,0,0,0,2,,,,,,,,,,,,,,,
5420,,3,177,6/26/18,22:18:00,22:18:51,177.9292,177.93,43277.9292,43277.9298,35.55,-119.78,1769,,,,2018,,,,1.914,119,,575,0.59,517,236,72.6,16.56,3.942,3.921,0.435,57.5,112.2,300,25.70,34.3,2.57,,2.02,17.40,2.203,83.38,56.74,0.410,1.805,614,8.22,0.866,1.557,0.522,0.376,1.257,19.684,6.642,3.096,5.163,0.721,4.075,2.530,1.656,2.263,1186,45,150,377,4,52,107,17,1,0,0,47,29,0,5,0,10,4,0,0,2,,2,9,5,,,0,1,,,5,5,10,6,,29,8,1,,,1,1,1,0,0,0,0,0,0,1,0,1,0,1,,,,,,,,,,,,,,,
5421,,3,177,6/26/18,22:22:00,22:22:50,177.9319,177.93,43277.9319,43277.9325,35.43,-119.68,1706,,,,2018,,,,1.934,116,,585,0.33,522,233,73.3,16.59,3.956,4.590,0.435,61.8,116.2,289,23.94,33.1,1.94,,1.58,17.54,2.219,83.05,67.71,0.475,2.153,559,8.22,1.116,1.597,0.550,0.365,1.407,19.249,8.929,3.433,5.975,0.979,5.021,3.455,2.170,2.804,1524,43,162,538,9,83,180,21,2,0,0,68,49,1,5,0,21,9,0,6,2,,5,24,12,,,1,2,,,12,10,26,15,,35,11,2,,,3,2,1,1,1,1,1,1,1,1,1,0,0,1,,,,,,,,,,,,,,,
4907,,3,177,6/26/18,19:53:00,19:53:38,177.8285,177.83,43277.8285,43277.8289,37.08,-119.82,4400,,,,2018,,,,1.938,137,,555,0.12,504,236,76.5,16.26,3.716,3.327,0.435,57.9,110.0,285,24.88,30.4,1.79,,1.89,20.51,2.179,82.16,64.44,0.339,2.056,547,5.86,1.067,0.833,0.696,0.363,1.260,25.224,7.591,3.096,5.130,0.905,3.021,2.079,1.289,2.043,1063,47,181,334,7,31,55,7,2,1,0,37,15,1,5,0,0,2,0,0,0,,1,5,3,,,0,2,,,9,0,0,4,,38,9,1,,,1,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,
6115,,1,176,6/25/18,16:51:30,16:52:17,176.7024,176.70,43276.7024,43276.7030,33.77,-118.08,1277,,,,2018,,,,1.935,169,,518,0.96,507,236,72.0,16.56,4.122,3.186,0.435,198.0,132.6,272,25.57,25.1,0.00,,2.07,23.71,2.321,80.93,66.42,1.393,3.552,480,8.63,1.269,1.652,2.344,1.450,2.433,20.101,7.133,2.366,4.105,0.603,3.056,2.880,1.874,3.099,2293,316,356,1132,64,253,454,39,9,0,0,338,177,2,32,0,70,23,7,0,6,,24,98,57,,,34,22,,,55,26,94,35,,71,95,18,,,51,20,3,2,4,3,5,3,0,10,0,5,1,2,,,,,,,,,,,,,,,
513,,2,176,6/25/18,23:26:00,23:26:37,176.9764,176.98,43276.9764,43276.9768,33.23,-115.78,1709,,,,2018,,,,1.880,105,,620,0.38,510,241,72.2,16.55,4.553,3.326,0.435,59.2,122.0,311,23.78,28.4,0.00,,1.51,18.90,2.186,86.28,55.57,1.547,7.207,579,9.47,0.394,1.491,0.838,0.451,1.194,24.523,5.418,3.051,7.652,0.870,3.895,4.182,3.285,4.993,786,38,198,763,4,47,85,8,0,0,0,105,43,0,6,0,9,0,0,0,0,,3,13,8,,,0,3,,,7,3,8,6,,46,23,3,,,1,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,
6205,,3,177,6/26/18,22:51:52,22:52:40,177.9527,177.95,43277.9527,43277.9532,34.63,-118.00,3317,,,,2018,,,,1.952,132,,602,0.20,517,235,77.4,16.38,4.276,3.811,0.435,187.3,171.0,348,25.89,31.4,2.66,,2.24,21.44,2.456,84.50,73.44,0.814,6.616,571,7.24,0.513,,0.760,0.620,1.348,21.663,5.865,3.211,7.807,0.869,6.796,5.195,3.116,5.806,1749,87,260,602,10,114,172,13,0,0,0,161,57,0,32,0,21,12,3,2,0,,6,23,15,,,8,9,,,23,5,16,9,,49,36,5,,,7,3,1,1,1,1,1,1,0,1,1,0,0,1,,,,,,,,,,,,,,,
4921,,3,177,6/26/18,19:49:00,19:49:35,177.8257,177.83,43277.8257,43277.8261,36.87,-120.05,1373,,,,2018,,,,2.083,104,,523,1.61,514,237,75.5,16.10,3.890,4.052,0.435,54.8,112.4,282,24.97,26.7,0.95,,1.75,19.22,2.182,82.14,66.18,0.377,2.083,552,6.07,0.889,0.774,0.585,0.290,1.240,23.365,7.488,2.955,4.008,0.611,2.535,1.896,1.270,1.898,1007,46,124,330,10,28,45,8,1,2,1,58,21,1,10,0,11,9,0,2,0,,4,14,6,,,0,3,,,8,0,12,5,,26,13,2,,,2,1,0,1,1,1,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,
3815,9292,2,177,6/26/17,19:06:01,19:06:48,177.7958,177.7964,42912.7958,42912.7964,33.94,-118.11,5426,1646,,,2017,,,546,1.820,57,419,569,0.00,507,222,69.9,15.89,3.426,3.252,0.435,11.3,89.1,249,23.0,24.4,,2.853,1.098,10.72,2.150,80.60,48.90,0.360,1.233,523,5.99,0.100,0.609,0.247,0.128,0.449,11.100,5.028,1.495,1.621,0.366,0.760,0.206,0.390,0.257,603,12,53,55,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,21,0,,823,30,2398,179,819,215,,,,,,,,,
5523,9452,4,178,6/27/17,16:57,16:57:46,178.7063,178.7068,42913.7063,42913.7068,35.31,-118.76,3670,1037,,,2017,,,575,2.014,130,408,574,0.00,520,227,71.0,16.42,3.651,3.307,0.435,14.9,124.6,273,23.6,28.9,,3.174,1.486,16.70,2.430,81.50,66.30,0.433,1.844,532,6.41,4.468,0.641,0.496,0.206,0.689,13.060,9.180,4.123,6.139,1.859,4.019,1.972,3.301,3.395,1040,74,155,477,0,63,91,,12,0,0,88,41,,0,,17,0,0,18,0,,0,19,12,,,,12,,,0,0,20,0,0,27,20,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,,41,44,1300,154,3042,867,,,,,,,,,
2114,9144,4,178,6/27/17,17:14:00,17:14:50,178.7181,178.7186,42913.7181,42913.7186,35.32,-119.31,1933,500,,,2017,,,574,2.014,127,412,569,18.69,521,227,73.5,16.48,3.615,3.408,0.435,13.9,116.5,263,23.9,24.8,,2.767,1.087,18.90,2.470,82.50,61.20,0.435,2.501,528,6.96,1.436,0.762,0.620,0.247,0.850,13.580,8.836,3.543,5.142,1.281,3.782,1.415,2.681,2.850,1212,97,122,403,0,61,92,,0,0,0,75,37,,0,,20,0,0,0,0,,0,17,0,,,,0,,,15,0,12,11,25,20,24,0,,,0,0,,0,0,0,0,0,0,0,0,17,0,,75,21,1687,175,920,574,,,,,,,,,
4908,,3,177,6/26/18,20:02:00,20:02:49,177.8347,177.84,43277.8347,43277.8353,37.53,-119.12,14259,,,,2018,,IN THE SMOKE PLUME,,1.874,86,,587,0.21,509,239,72.7,16.13,4.090,3.279,0.435,36.5,92.9,270,24.38,26.3,3.11,,1.66,15.14,2.014,82.14,66.82,0.379,1.478,611,8.17,0.145,0.712,0.638,0.429,0.557,22.883,4.736,1.128,1.492,0.291,0.708,0.453,0.530,0.421,668,128,92,95,67,4,16,15,0,3,3,5,6,3,17,0,0,2,5,7,1,,2,1,1,,,0,0,,,9,0,0,3,,44,17,1,,,3,1,1,0,0,0,0,0,1,1,0,2,1,2,,,,,,,,,,,,,,,
6620,,4,178,6/27/18,15:56:10,15:56:59,178.6640,178.66,43278.6640,43278.6646,33.68,-117.27,3895,,,,2018,,,,1.886,76,,598,0.05,520,231,71.6,16.96,4.097,3.745,0.435,29.1,105.6,300,24.34,26.8,1.55,,2.20,15.37,2.214,87.39,56.00,0.161,1.783,588,9.89,0.132,1.107,0.297,0.164,0.368,22.412,4.278,1.428,1.700,0.154,0.725,0.426,0.309,0.391,822,5,56,58,3,1,6,8,3,0,0,4,3,1,5,0,1,1,2,1,1,,1,1,1,,,0,0,,,9,0,0,0,,8,3,1,,,3,1,3,0,1,1,1,1,1,2,1,0,0,0,,,,,,,,,,,,,,,
6214,,2,177,6/26/18,1:25:30,1:26:07,177.0594,177.06,43277.0594,43277.0598,34.65,-118.02,3178,,,,2018,,,,1.909,101,,601,0.14,517,232,71.8,17.32,4.399,4.046,0.435,181.0,158.7,346,26.62,27.1,1.32,,1.36,21.89,2.536,86.65,98.46,0.690,6.466,600,7.80,0.585,,0.854,0.638,1.324,23.791,6.469,2.716,6.866,0.894,5.997,5.011,3.121,5.644,1653,98,236,498,12,109,162,12,1,0,0,177,63,0,55,0,22,9,2,3,2,,8,26,19,,,11,10,,,26,5,18,10,,51,47,7,,,8,5,1,1,2,2,1,1,1,2,1,0,0,1,,,,,,,,,,,,,,,
5413,,3,177,6/26/18,22:17:00,22:17:50,177.9285,177.93,43277.9285,43277.9291,35.48,-119.75,1761,,,,2018,,,,1.932,122,,584,0.37,518,233,72.5,17.12,3.948,4.825,0.435,52.4,117.3,283,27.51,39.0,1.65,,1.83,16.10,2.034,84.03,47.48,0.481,1.892,620,7.94,1.069,1.593,0.531,0.352,1.284,18.156,7.004,3.228,5.550,0.543,4.474,2.951,2.006,2.672,1372,44,147,432,4,68,129,16,2,0,0,53,32,1,20,0,10,3,0,4,4,,2,9,6,,,2,3,,,9,8,14,8,,31,8,1,,,2,1,1,0,0,0,1,0,0,1,1,1,0,1,,,,,,,,,,,,,,,
3318,,4,178,6/27/18,16:38:30,16:38:59,178.6934,178.69,43278.6934,43278.6937,35.38,-118.13,19522,,,,2018,,,,1.852,60,,634,0.00,533,252,73.9,17.02,4.090,3.642,0.435,5.6,97.0,299,24.11,29.7,0.00,,1.66,12.89,2.387,90.37,61.23,0.104,1.198,658,7.38,0.005,1.297,0.242,0.186,0.213,21.042,3.615,0.763,0.231,0.063,0.132,0.055,0.137,0.078,423,3,58,30,2,1,1,5,0,0,0,0,1,0,2,0,1,0,0,0,0,,0,0,0,,,0,0,,,0,0,7,0,,9,1,0,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,
6107,,2,176,6/25/18,23:01:30,23:02:03,176.9594,176.96,43276.9594,43276.9598,33.82,-117.22,2009,,,,2018,,,,1.965,216,,537,0.41,508,230,72.1,16.59,4.708,3.569,0.436,389.6,198.6,335,22.98,34.1,0.00,,3.16,29.58,3.100,79.49,99.76,1.729,10.591,480,7.94,1.367,1.411,3.065,1.919,3.009,22.358,8.728,5.524,17.401,2.091,15.742,14.088,8.960,16.568,2359,220,509,1565,49,284,457,26,10,0,0,447,176,2,43,0,47,13,6,6,5,,23,81,46,,,0,27,,,57,14,45,30,,102,95,15,,,18,10,2,2,3,1,2,1,0,3,0,3,2,1,,,,,,,,,,,,,,,
2422,,3,177,6/26/18,20:54:20,20:55:03,177.8711,177.87,43277.8711,43277.8716,35.90,-119.58,3080,,,,2018,,,,1.906,120,,563,0.21,516,235,73.2,16.11,3.733,3.936,0.436,54.3,112.7,270,24.31,30.7,0.00,,1.70,16.88,1.992,79.67,32.34,0.353,1.721,521,6.27,1.015,1.471,0.519,0.297,1.191,17.354,8.613,2.996,4.371,0.562,3.113,1.835,1.107,,1005,32,188,250,6,26,46,7,1,0,0,22,12,0,1,0,1,1,0,1,0,,1,5,3,,,1,0,,,6,1,5,23,,32,5,1,,,2,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,
6101,,1,176,6/25/18,16:41:00,16:42:00,176.6951,176.70,43276.6951,43276.6958,33.90,-118.19,7240,,,,2018,,,,1.898,78,,496,0.09,506,225,69.8,16.53,3.342,3.458,0.436,28.9,96.6,244,26.47,24.4,1.55,,1.56,15.51,1.873,79.40,56.16,0.124,1.560,464,9.05,0.015,1.046,0.325,0.162,0.308,18.689,3.392,1.285,1.524,0.132,0.445,0.067,0.034,0.069,975,5,74,82,4,2,4,6,4,2,0,2,0,1,1,0,1,3,0,0,2,,0,1,1,,,0,0,,,0,0,5,0,,10,3,2,,,4,2,3,2,3,3,4,0,3,5,6,1,2,1,,,,,,,,,,,,,,,
509,,2,176,6/25/18,23:47:00,23:47:33,176.9910,176.99,43276.9910,43276.9914,32.83,-115.05,2137,,,,2018,,,,1.863,86,,595,0.53,506,238,71.0,16.03,3.802,3.164,0.436,41.5,101.8,274,23.32,26.5,0.00,,1.35,16.54,2.111,84.92,50.70,0.400,1.554,559,8.35,0.277,1.370,0.446,0.277,0.831,25.184,4.635,1.687,2.479,0.339,1.084,1.073,0.650,0.919,621,16,74,153,5,1,13,4,0,0,0,17,7,1,1,0,7,0,0,0,0,,2,2,1,,,0,0,,,0,1,11,0,,16,4,2,,,3,2,3,2,3,3,3,3,4,4,0,1,1,1,,,,,,,,,,,,,,,
522,,2,176,6/25/18,23:39:00,23:39:29,176.9854,176.99,43276.9854,43276.9858,32.74,-115.10,2402,,,,2018,,,,1.857,116,,607,0.26,510,226,73.1,16.73,4.195,3.231,0.436,20.9,108.4,278,24.38,25.7,0.00,,1.63,15.90,2.130,85.73,61.76,0.304,1.516,684,8.63,0.438,1.651,0.387,0.242,1.234,25.446,5.735,2.016,2.544,0.334,1.056,1.248,0.780,1.071,746,256,176,177,35,5,30,6,3,0,0,31,14,1,0,0,4,1,0,0,0,,1,4,3,,,0,0,,,0,0,6,0,,46,20,3,,,3,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,
6515,,3,177,6/26/18,21:19:45,21:20:31,177.8887,177.89,43277.8887,43277.8892,35.25,-118.75,3714,,,,2018,,,,2.019,120,,585,0.46,503,224,70.9,16.58,3.802,4.223,0.436,78.5,145.6,311,22.98,28.5,3.00,,1.60,23.26,2.337,84.65,57.19,0.628,2.605,500,7.10,1.188,1.499,0.812,0.398,1.585,21.237,8.259,4.294,9.598,1.488,7.841,6.017,3.802,5.013,1550,42,174,807,3,115,216,14,0,0,0,132,82,1,3,0,21,10,3,0,0,,5,20,14,,,0,0,,,11,8,18,10,,36,21,3,,,2,1,0,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,
1118,,3,177,6/26/18,18:41:00,18:41:19,177.7785,177.78,43277.7785,43277.7787,35.23,-118.85,194,,,,2018,,,,1.905,119,,590,0.07,520,233,72.8,16.35,3.650,3.708,0.436,49.8,120.2,289,24.85,28.6,0.00,,1.63,18.05,2.378,87.68,53.80,0.249,1.995,543,6.27,1.023,1.578,0.534,0.339,1.372,21.380,7.040,2.791,4.672,0.434,3.065,1.616,1.170,,860,22,111,215,0,25,41,2,0,0,0,19,10,0,1,0,0,,0,7,1,,0,3,2,,,0,0,,,4,0,6,4,,21,4,1,,,1,0,1,0,1,0,1,1,0,1,1,0,0,1,,,,,,,,,,,,,,,
0214,9021,3,178,6/27/17,0:09:00,0:09:48,178.0063,178.0068,42913.0063,42913.0068,34.64,-118.03,3368,981,,,2017,,,551,1.850,53,411,570,4.29,512,223,70.0,16.35,3.444,3.722,0.436,9.9,95.2,249,22.9,25.6,,2.571,1.022,12.08,2.440,82.30,48.20,0.401,1.385,509,5.95,0.302,0.654,0.438,0.242,0.696,11.280,5.568,1.492,1.566,0.350,1.127,0.475,1.031,0.708,566,46,84,152,12,25,63,,0,0,0,50,21,,73,,12,0,0,11,0,,10,0,0,,,,0,,,11,0,16,10,23,10,11,0,,,0,0,,0,0,0,0,0,0,0,0,79,0,,1683,30,1091,185,1128,3391,,,,,,,,,
5510,9451,4,178,6/27/17,16:56:00,16:56:48,178.7056,178.7061,42913.7056,42913.7061,35.32,-118.72,4359,1266,,,2017,,,566,1.915,104,408,577,0.00,524,228,71.1,16.64,3.642,3.378,0.436,14.1,117.3,275,23.6,28.3,,3.126,1.331,14.63,2.320,81.80,60.70,0.670,1.790,533,6.76,0.791,0.638,0.402,0.175,0.546,13.150,8.345,3.182,4.507,1.125,2.763,1.387,2.754,2.607,748,58,135,328,0,68,60,,0,0,0,79,29,,0,,12,0,0,0,0,,0,15,0,,,,0,,,10,0,13,0,34,18,19,0,,,0,0,,0,0,0,0,0,0,0,0,11,17,,55,17,1219,215,2403,803,,,,,,,,,
1522,9059,5,178,6/27/17,19:09:00,19:09:51,178.7979,178.7985,42913.7979,42913.7985,35.28,-118.87,1819,457,,,2017,,,597,2.048,164,414,562,12.98,513,230,71.1,16.20,3.713,3.372,0.436,29.9,141.8,306,24.1,30.6,,3.106,1.536,25.86,2.560,84.30,76.30,1.593,5.018,534,7.48,1.459,0.765,1.002,0.488,1.366,16.440,10.878,5.888,11.629,2.912,13.519,6.058,11.579,7.725,1751,111,273,1095,11,236,395,,0,0,0,236,112,,16,,38,17,0,0,0,,12,48,31,,,,11,,,39,13,44,18,0,48,60,0,,,0,0,,0,0,0,0,0,0,0,0,21,0,,1026,50,2315,502,4626,1345,,,,,,,,,
5417,9435,5,178,6/27/17,19:28:00,19:28:54,178.8111,178.8117,42913.8111,42913.8117,35.63,-119.19,1728,425,,,2017,,,588,2.016,141,409,562,9.09,512,222,69.8,15.99,3.501,3.285,0.436,15.2,116.8,263,24.2,28.3,,2.083,1.999,18.49,2.370,80.50,66.80,0.607,2.375,529,6.84,1.367,0.816,0.622,0.410,1.015,15.310,9.208,4.216,6.469,1.715,4.197,2.467,4.102,3.620,1297,68,138,449,12,58,77,,0,0,0,85,44,,0,,21,12,0,0,0,,0,20,11,,,,0,,,17,0,15,0,48,23,22,0,,,0,0,,0,0,0,0,0,0,0,0,80,85,,911,24,1734,132,3835,3044,,,,,,,,,
6609,,4,178,6/27/18,16:12:40,16:13:30,178.6755,178.68,43278.6755,43278.6760,34.15,-116.53,6470,,,,2018,,,,1.902,82,,610,0.28,508,230,72.2,16.71,4.212,3.679,0.436,64.8,119.3,301,23.78,33.2,3.02,,2.13,21.71,2.327,86.23,98.13,0.478,2.936,560,8.49,0.275,1.521,0.793,0.548,0.750,30.570,7.485,2.087,3.674,0.439,2.553,2.035,1.017,1.851,987,58,119,275,37,31,50,9,10,0,2,53,20,1,239,0,13,15,1,1,1,,2,8,6,,,0,0,,,0,0,16,8,,27,12,3,,,2,1,1,2,3,3,3,3,3,4,0,1,1,1,,,,,,,,,,,,,,,
4920,,3,177,6/26/18,19:46:00,19:46:35,177.8236,177.82,43277.8236,43277.8240,36.67,-120.13,1370,,,,2018,,,,1.971,101,,542,0.64,507,241,72.6,16.55,3.684,3.623,0.436,59.3,113.6,279,23.94,29.5,1.33,,1.66,20.39,2.117,81.86,72.52,0.429,2.031,524,6.65,1.076,0.832,0.656,0.359,1.372,23.313,7.965,3.043,4.758,0.728,2.610,2.023,1.365,2.080,1024,34,115,291,1,29,46,9,1,1,0,44,19,0,6,0,5,3,0,5,0,,2,12,5,,,0,4,,,8,1,10,4,,24,11,2,,,2,1,1,0,0,0,1,0,0,1,1,0,0,1,,,,,,,,,,,,,,,
6220,,3,177,6/26/18,22:50:46,22:51:38,177.9519,177.95,43277.9519,43277.9525,34.63,-117.95,4111,,,,2018,,,,1.936,135,,567,0.12,520,230,73.1,16.46,4.181,3.429,0.436,74.2,116.7,294,25.26,27.0,1.14,,1.75,18.23,2.348,84.42,70.29,0.340,2.602,571,7.52,0.715,,0.433,0.320,0.904,24.505,6.979,2.767,4.870,0.680,3.308,2.010,1.234,2.065,1091,28,134,274,4,33,53,7,1,0,0,32,15,1,6,0,0,0,1,2,0,,1,4,3,,,0,3,,,2,2,7,4,,25,7,1,,,1,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,
6213,,3,177,6/26/18,22:49:35,22:50:27,177.9511,177.95,43277.9511,43277.9517,34.63,-117.90,4765,,,,2018,,,,1.924,107,,614,0.21,512,233,72.5,16.98,4.201,3.796,0.437,74.0,121.0,303,26.83,27.5,1.22,,1.29,18.23,2.370,86.84,67.18,0.262,2.418,588,7.80,0.580,,0.438,0.314,0.882,23.868,6.076,2.545,4.657,0.498,2.926,1.773,1.115,1.696,1031,22,128,241,4,28,43,6,3,0,0,27,12,0,3,0,0,0,1,3,4,,1,3,3,,,0,1,,,2,1,3,3,,23,6,2,,,3,2,3,2,3,2,3,3,3,4,4,1,1,1,,,,,,,,,,,,,,,
2201,,4,178,6/27/18,15:04:30,14:04:57,178.6281,178.59,43278.6281,43278.5868,34.33,-118.22,10965,,,,2018,,,,1.854,66,,564,0.00,503,234,70.5,16.54,3.950,3.143,0.437,19.5,96.6,259,24.28,24.2,1.53,,1.48,13.53,1.876,80.38,53.59,0.063,1.062,530,5.96,0.013,0.519,0.254,0.119,0.311,19.207,3.715,0.873,0.567,0.106,0.239,0.094,0.056,0.056,529,22,40,22,1,0,0,6,1,0,0,0,1,1,0,0,0,0,0,0,0,,0,1,0,,,0,0,,,0,0,0,0,,6,2,1,,,4,2,3,2,3,3,4,3,3,4,4,1,1,0,,,,,,,,,,,,,,,
2010,,2,177,6/26/18,0:42:19,0:42:54,177.0294,177.03,43277.0294,43277.0298,33.87,-117.28,2940,,,,2018,,,,1.928,184,,566,0.16,509,232,72.0,16.61,4.202,3.488,0.437,267.9,184.3,337,23.37,34.8,0.00,,2.32,27.44,2.614,83.52,97.42,2.958,11.954,505,5.92,1.254,1.596,2.578,1.543,2.372,21.167,8.119,4.464,12.930,1.653,13.118,15.790,10.022,13.346,1860,116,373,1048,13,203,322,16,5,0,0,239,133,0,29,0,26,13,2,0,4,,9,35,22,,,11,17,,,33,8,22,14,,70,50,9,,,15,5,1,1,2,2,1,1,1,2,1,0,0,1,,,,,,,,,,,,,,,
3305,,4,178,6/27/18,17:13:30,17:15:09,178.7177,178.72,43278.7177,43278.7189,35.12,-118.37,38948,,,,2018,,START OF TECON,,1.843,56,,629,0.00,517,230,70.5,16.96,3.795,3.671,0.437,17.7,100.0,300,23.88,29.5,0.00,,1.88,11.37,2.221,87.32,56.92,0.056,1.028,714,6.68,0.001,1.183,0.221,0.132,0.320,11.453,3.505,0.631,0.224,0.022,0.060,0.038,0.016,0.056,451,2,70,48,3,3,3,4,0,0,0,0,1,1,1,0,1,0,0,6,0,,0,0,0,,,0,0,,,0,0,18,30,,8,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,
