Snake#,Can#,Flight,Jday,date,OpenTime,CloseTime,Julian Open Time,Julian Closing Time,Jopen time Progressive,J close time Progressive,Latitude,Longitude,AltP_feet,AltP_meters,Radaralt_ft,Radaralt_m,SARP Year,Weather,Comments,H2 (ppbv)mult by 1.6,CH4 (ppmv),CO (ppbv),CO2_ppm,OCS (MS),DMS (MS),CFC-12 (C/D),CFC-11 (C/D),CFC-113 (D),CFC-114 (C/MS),H-1211 (C/D),H-1301 (C),H-2402 (D),HFC-152a (MS),HFC-134a (MS),HCFC-22 (MS),HCFC-142b,HCFC-141b (MS),HFC-227ea (MS),HCFC-124 (MS),HFC-365mfc (MS),CHCl3 (C/D),CH3CCl3 (C/MS),CCl4 (C/MS),CH2Cl2 (C/D/MS),C2HCl3 (D/MS),C2Cl4 (C/MS),CH3Cl (MS),CH3Br (C/MS),CH3I (C/D),CH2Br2 (D),CHBrCl2 (D),CHBr2Cl (D),CHBr3 (C/MS),"1,2-DCE (MS)",MeONO2 (C/D),EtONO2 (C/D),i-PrONO2 (D),n-PrONO2 (C),2-BuONO2 (D),3-PeONO2 (D),2-PeONO2 (D),3-Methyl-2-BuONO2 (D),Ethane (E),Ethene (E),Ethyne (E),Propane (E/B),Propene (E),i-Butane (E),n-Butane (E),i-Butene (E),1-Butene (E),trans-2-Butene (MS),cis-2-Butene (MS),i-Pentane (E),n-Pentane (E),1-Pentene,Isoprene (E/B),"1,3-Butadiene (B)",n-Hexane (E),n-Heptane (E),n-Octane (B),n-Nonane (B),n-Decane (B),"2,2-Dimethylbutane (B)","2,3-Dimethylbutane (MS)",2-Methylpentane (MS),3-Methylpentane (MS),2-Methylhexane (B),3-Methylhexane (B),"2,3-Dimethylpentane (B)","2,4-Dimethylpentane (B)",2-Methylheptane (B),3-Methylheptane (B),"2,2,4-Trimethylpentane (B)",Cyclopentane (B),Methylcyclopentane (B),Cyclohexane (B),Methylcylohexane (B),Benzene (E/MS),Toluene (B),Ethylbenzene (MS),m-Xylene (MS),p-Xylene (MS),m/p-Xylene (MS),o-Xylene (MS),Styrene (MS),i-Propylbenzene (MS),n-Propylbenzene (MS),3-Ethyltoluene (MS),4-Ethyltoluene (MS),2-Ethyltoluene (MS),"1,3,5-Trimethylbenzene (MS)","1,2,4-Trimethylbenzene (MS)","1,2,3-Trimethylbenzene (MS)",alpha-Pinene (MS),beta-Pinene (MS),EtCl (MS),Acetaldehyde (MS),Butanal (MS),Acetone (MS),Butanone (MS),Methanol (MS),Ethanol (MS),,,,,,,,,
2706,6368,SARP_1,197,7/16/19,22:44:00,22:44:40,43662.9472,43662.9477,43662.9472,43662.9477,37.250,-121.050,9017,,,,2019,,,,,,,558,0.0,502.4,228.4,69.84,16.44,3.290,3.410,0.4014,10.93,108.3,249.0,22.39,24.73,,,1.244,13.71,1.756,77.5,70.58,0.186,1.460,509,6.56,0.122,0.489,0.240,0.398,0.221,19.17,3.508,0.939,1.084,0.158,0.482,0.055,0.047,0.072,720,5,48,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,10,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,1.48,,44,,27,,,,,,,,,,,
5702,4235,SARP_2,198,7/17/19,16:36:00,16:36:31,43663.6917,43663.6920,43663.6917,43663.6920,33.250,-115.717,10000,,,,2019,,,,,,,607,0.0,513.6,229.1,70.69,16.97,3.380,3.425,0.4015,7.87,113.2,254.2,22.28,25.71,,,1.352,9.96,1.771,77.60,54.14,0.189,1.384,599,7.49,0.605,0.621,0.266,0.597,0.516,11.86,5.184,1.492,4.420,0.543,3.575,0.343,0.311,0.109,1251,14,26,258,3,8,24,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,6,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,2.78,,54,,119,,,,,,,,,,,
1021,8027,SARP_1,197,7/16/19,19:45:00,19:45:40,43662.8229,43662.8234,43662.8229,43662.8234,36.033,-117.150,15813,,,,2019,,,,,,,632,0.0,510.5,231.9,71.27,16.00,3.588,3.439,0.4002,7.74,109.6,261.6,23.01,27.30,,,1.291,11.70,1.640,78.20,71.31,0.115,1.413,606,6.52,0.089,0.543,0.236,0.334,0.151,19.93,3.289,0.508,0.605,0.087,0.192,0.001,0.001,0.060,447,7,30,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,5,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,2.05,,27,,35,,,,,,,,,,,
1410,7364,SARP_2,198,7/17/19,18:18:00,18:18:24,43663.7625,43663.7628,43663.7625,43663.7628,34.817,-117.967,4560,,,,2019,,,,,,,610,0.0,499.9,227.2,69.18,16.25,3.274,3.283,0.4007,26.80,131.8,260.6,22.15,25.56,,,1.343,14.30,1.774,77.4,63.29,0.124,1.865,538,6.39,0.477,0.522,0.477,0.837,0.542,15.80,5.932,1.526,2.790,0.479,2.460,0.431,0.617,0.701,751,34,53,226,7,29,59,0,0,0,0,61,25,0,7,0,11,0,0,0,0,3,4,15,10,3,5,5,,,,8,0,8,4,0,14,19,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,1.57,,24,,35,,,,,,,,,,,
5303,8213,SARP_3,198,7/17/19,23:10:00,23:10:53,43663.9653,43663.9659,43663.9653,43663.9659,33.733,-118.050,5880,,,,2019,,,,,,,623,1.5,504.6,228.1,70.66,16.41,3.371,3.327,0.4008,13.16,112.7,257.1,23.09,25.79,,,1.327,11.92,1.695,77.4,70.56,0.142,1.344,538,6.33,0.246,0.584,0.264,0.492,1.052,17.43,4.692,0.937,1.515,0.244,1.272,0.193,0.295,0.192,557,8,28,103,0,10,19,0,4,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,7,3,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,1.84,,27,,74,,,,,,,,,,,
2701,6609,SARP_1,197,7/16/19,22:14:00,22:14:31,43662.9264,43662.9267,43662.9264,43662.9267,36.533,-119.450,1400,,,,2019,,,,,,,614,2.8,501.6,227.1,70.03,16.21,3.358,3.363,0.4011,15.07,112.9,260.7,22.41,25.86,,,1.328,12.73,1.739,77.30,66.40,0.252,1.407,553,6.52,0.312,0.568,0.258,0.404,0.319,17.00,5.017,1.089,1.841,0.340,1.031,0.202,0.385,0.395,480,28,52,210,9,22,22,0,0,0,0,41,16,0,26,0,8,4,0,0,0,0,0,14,5,3,4,0,,,,4,0,5,0,0,12,8,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,2.05,,35,,55,,,,,,,,,,,
5718,8192,SARP_2,198,7/17/19,16:42:00,16:42:37,43663.6958,43663.6963,43663.6958,43663.6963,32.933,-115.417,8850,,,,2019,,,,,,,598,0.0,504.2,228.9,69.07,16.09,3.301,3.446,0.4011,6.86,106.6,251.9,23.74,25.00,,,1.094,10.99,1.695,77.5,63.20,0.117,1.192,555,5.99,0.032,0.606,0.216,0.425,0.299,16.36,4.426,0.544,0.581,0.095,0.313,0.064,0.064,0.046,409,5,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,5,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.93,,50,,85,,,,,,,,,,,
2715,4268,SARP_1,197,7/16/19,22:22:00,22:22:32,43662.9319,43662.9323,43662.9319,43662.9323,36.850,-120.000,1350,,,,2019,,Wineries?,,,,,599,3.1,498.9,229.2,70.66,16.19,3.443,3.366,0.4012,17.55,118.0,264.6,23.50,26.31,,,1.108,12.51,1.726,78.20,66.25,0.166,1.778,533,6.42,0.450,0.512,0.269,0.413,0.274,15.93,5.177,1.443,2.954,0.568,1.415,0.186,0.361,0.453,601,94,52,455,36,28,21,0,6,0,0,29,12,0,12,0,10,3,0,0,0,0,0,7,0,0,0,0,,,,0,0,4,0,0,22,14,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,2.15,,37,,54,,,,,,,,,,,
4015,9382,SARP_2,198,7/17/19,15:46:00,15:46:28,43663.6569,43663.6573,43663.6569,43663.6573,33.650,-118.100,4000,,,,2019,,,,,,,617,0.0,509.7,228.2,70.25,16.47,3.387,3.361,0.4012,12.85,109.7,258.7,23.08,26.95,,,1.135,12.15,1.720,77.3,75.03,0.445,1.215,547,6.93,0.403,0.551,0.292,0.615,1.130,14.72,4.150,0.870,1.383,0.238,0.759,0.186,0.194,0.151,459,11,29,78,3,8,15,0,0,0,0,8,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,6,6,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,1.52,,45,,121,,,,,,,,,,,
806,8206,SARP_3,198,7/17/19,22:27:00,22:27:41,43663.9354,43663.9359,43663.9354,43663.9359,32.183,-119.867,2370,,,,2019,,,,,,,578,3.6,507.3,228.7,70.87,16.21,3.390,3.446,0.4019,7.74,107.2,244.5,22.22,24.11,,,1.550,11.97,1.750,77.20,76.19,0.144,1.351,518,6.12,0.108,0.587,0.237,0.389,0.314,18.01,4.140,0.640,0.604,0.094,0.153,0.001,0.001,0.001,463,6,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,5,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,1.81,,36,,72,,,,,,,,,,,
